Number	Name	Source	RecordIndex
1	Das Erste HD	map-SateD	288
2	ZDF HD	map-SateD	63
3	WDR HD Essen	map-SateD	175
4	NDR FS NDS HD	map-SateD	283
5	zdf_neo HD	map-SateD	5
6	ZDFinfo HD	map-SateD	6
7	3sat HD	map-SateD	213
8	SWR BW HD	map-SateD	290
9	MDR Sachsen HD	map-SateD	341
10	arte HD	map-SateD	289
11	ONE HD	map-SateD	322
12	SAT.1	map-SateD	0
13	ProSieben	map-SateD	1
14	VOX	map-SateD	2
15	kabel eins	map-SateD	3
16	ntv	map-SateD	4
17	TELE 5	map-SateD	7
18	KiKA HD	map-SateD	214
19	DMAX	map-SateD	8
20	SPORT1	map-SateD	9
21	Disney Channel	map-SateD	10
22	DELUXE MUSIC	map-SateD	11
23	Comedy Central	map-SateD	12
24	SERIEN+	map-SateD	13
25	SAT.1 NRW	map-SateD	14
26	NITRO Austria	map-SateD	15
27	Genius Family	map-SateD	16
28	Astra Demo	map-SateD	17
29	ANIXE HD	map-SateD	18
30	HSE SD	map-SateD	19
31	QVC Deutschland	map-SateD	20
32	Sonnenklar TV	map-SateD	21
33	RTLup	map-SateD	22
34	meinTVshop	map-SateD	23
35	Bibel TV	map-SateD	24
36	VOXup	map-SateD	25
37	RTL HB NDS	map-SateD	26
38	Kabel 1 Austria	map-SateD	27
39	SAT.1 A	map-SateD	28
40	SAT.1 RhlPf/Hessen	map-SateD	29
41	SAT.1 NS/Bremen	map-SateD	30
42	Genius Exklusiv	map-SateD	31
43	Spirit TV	map-SateD	32
44	One Terra	map-SateD	33
45	Deluxe Rap	map-SateD	34
46	Just Cooking	map-SateD	35
47	Just Fishing	map-SateD	36
48	Crime Time	map-SateD	37
49	Astra Demo	map-SateD	38
50	Astra Demo	map-SateD	39
51	Astra Demo	map-SateD	40
52	Xplore	map-SateD	41
53	RTL Austria	map-SateD	42
54	VOX Austria	map-SateD	43
55	RTLZWEI Austria	map-SateD	44
56	Astra Demo	map-SateD	45
57	Astra Demo	map-SateD	46
58	Astra Demo	map-SateD	47
59	Astra Demo	map-SateD	48
60	Astra Demo	map-SateD	49
61	Astra Demo	map-SateD	50
62	Astra Demo	map-SateD	51
63	Astra Demo	map-SateD	52
64	TV5 MONDE EUROPE HD	map-SateD	53
65	QVC HD	map-SateD	54
66	HSE HD	map-SateD	55
67	SES 75	map-SateD	56
68		map-SateD	57
69		map-SateD	58
70		map-SateD	59
71		map-SateD	60
72		map-SateD	61
73	TEST RA	map-SateD	62
74	PORTADA	map-SateD	64
75	GUÍA	map-SateD	65
76		map-SateD	66
77		map-SateD	67
78		map-SateD	68
79	Antig. ALQUILER G1	map-SateD	69
80	ALQUILER	map-SateD	70
81	PORTADA	map-SateD	71
82		map-SateD	72
83		map-SateD	73
84		map-SateD	74
85	CONTRATO	map-SateD	75
86	TEST TÉCNICO	map-SateD	76
